|text|rt_count|tweet_datetime
0|I'm so sorry, no not really|0|Mon Feb 15 20:41:16 +0000 2016
1|@EnglandRugby: #RedRoseChat Q4. Still to come: Ireland (H), Wales (H) &amp; France (A). Any players that you   re particularly wary of? https:   |4|Mon Feb 15 20:41:16 +0000 2016
2|@JasparUSA: I think @Joe_Sugg forgot it was #SUGGSUNDAY, he didn't even tweet it     |2|Mon Feb 15 20:41:16 +0000 2016
3|"@Italians4Trump: DONALD J. TRUMP FOR PRESIDENT, INC. OPED - The Culture of Life | Donald J Trump for President https://t.co/uXtzf5gXfd"|2|Mon Feb 15 20:41:16 +0000 2016
4|MAN I CANT LIE IM STILL WEAK BUT I GOTTA CHILL        |0|Mon Feb 15 20:41:16 +0000 2016
5|"I'm Not Crazy..I'm Allergic! #5Stars ""meticulously researched(&amp; extremely thought provoking) study"" https://t.co/6fTlWYh4v8 #indiewritersupp"|0|Mon Feb 15 20:42:39 +0000 2016
6|"@AldenBAE_07: Close your eyes,
fall in love,
stay there :)

 #ALDUB7thMonthsary https://t.co/F7Z3s8rH5H"|1|Mon Feb 15 20:42:39 +0000 2016
7|@eleeeyeeleh I'm a 'they're waiting' type|0|Mon Feb 15 20:42:39 +0000 2016
8|@Ken_DeMange Just heard that too, beat me to it. Not attacking down the right might be having an impact on that.|0|Mon Feb 15 20:42:39 +0000 2016
9|@JohnEastCoast: @Kleptocratia @BryanJFischer @Wildharv @FDRLST Dems passed resolution in 1960 against election year SCOTUS appts and the   |2|Mon Feb 15 20:42:39 +0000 2016
10|Is that a elephant fighting a deer              https://t.co/ffimY7np1l|0|Mon Feb 15 20:42:39 +0000 2016
11|@Bre2xs_: I really need to lose some weight before the summer|2|Mon Feb 15 20:42:39 +0000 2016
12|really want a Mac|0|Mon Feb 15 20:42:39 +0000 2016
13|when everything is on the right places @TheMattEspinosa https://t.co/O2jf7TZssT|0|Mon Feb 15 20:42:39 +0000 2016
14|at times https://t.co/jktgWD7nwP|0|Mon Feb 15 20:44:33 +0000 2016
15|@krellard: I don't have time for incompetent, white trash little girls. kiss my ass and my Michael &lt;3|1|Mon Feb 15 20:44:33 +0000 2016
16|Someone bring me to the mall or hang w me :)|0|Mon Feb 15 20:44:33 +0000 2016
17|I love you more, sweetie.          https://t.co/vTrwXayw5c|0|Mon Feb 15 20:44:33 +0000 2016
18|I'm at Qurtuba in Kuwait https://t.co/ViiID8p89j|0|Mon Feb 15 20:44:33 +0000 2016
19|Let's Try - The Shield: The Game (Part 2) https://t.co/6BtwgM4dKm via @YouTube|0|Mon Feb 15 20:44:33 +0000 2016
20|@BlueMarlinUAE: What a night! Were you there? FIRE FESTIVAL WITH @santemusic AND @blond_ish @BlueMarlinUAE #DubaiParty #MyDubai https://   |2|Mon Feb 15 20:44:33 +0000 2016
21|@iKnoYouWatching: It really do though.                    https://t.co/2sg1GoHl3Q|1|Mon Feb 15 20:44:33 +0000 2016
22|Would you lie about how many sexual partners you've had?|0|Mon Feb 15 20:44:33 +0000 2016
23|@RealMikeWelch @miss_linseylynn That's why Coldstone is the best date spot am I right?|0|Mon Feb 15 20:44:33 +0000 2016
24|one person followed me and one person unfollowed me // automatically checked by https://t.co/kDATleTJLp|0|Mon Feb 15 20:44:33 +0000 2016
25|"@CuratedATL: Shop our Presidents' Day sale | 20 items are now 20% OFF online | Use code ""2020"" at checkout,    https://t.co/9sKIlnxqh8"|1|Mon Feb 15 20:44:33 +0000 2016
26|@whenthewolves love u too|0|Mon Feb 15 20:44:33 +0000 2016
27|@zakearaaaa: don't let Instagram, twitter, facebook, periscope, bebo, myspace, OR NO OTHER SOCIAL MEDIA SIGHT BE THE REASON YOU GET YOUR   |6|Mon Feb 15 20:44:33 +0000 2016
28|EDEN WAKAME SEAWEED 2.1 OZ Popular for Its Essential Role as the Lovely Green in Miso Soup. Grown Off the Ise Coast https://t.co/IS7BpchG7V|0|Mon Feb 15 20:44:33 +0000 2016
29|"@RonPaulInstitut: Presidents Day 2016: Who Was Best? Who Was Worst?
https://t.co/eogbFSk6e0"|2|Mon Feb 15 20:44:33 +0000 2016
30|@ScotsFyre: They can't stop him from nominating. And the Dems can thank Reid for the 60 vote threshold @catfanfl @gabrielmalor @jonfavs|7|Mon Feb 15 20:44:33 +0000 2016
31|PLEASE SIGN and RETURN Self Inking Rubber Stamp Red Ink 42A1539WEB-R Ensure Efficient Communication and Provide https://t.co/KarxbrLaAe|0|Mon Feb 15 20:44:33 +0000 2016
32|@JustaFan18: @rcarr57 @AOL Interesting to want someone who knows the real #constitution &amp; #laws of #America &amp; #SCOTUS #job.|1|Mon Feb 15 20:44:33 +0000 2016
33|@ZekeJMiller @stephenfhayes This man(Trump). Hasn't got a clue!|0|Mon Feb 15 20:44:33 +0000 2016
34|@Cristalluceero: I'm so happy for Kehlani              |1|Mon Feb 15 20:44:33 +0000 2016
35|"@samsBellabob @Daisy_dor 
Hahahhaha but I like it"|0|Mon Feb 15 20:44:33 +0000 2016
36|How much do you know about Coke Zero? Test yourself! https://t.co/3kvtvCl8Zv #CokeZeroTrivia|0|Mon Feb 15 20:44:33 +0000 2016
37|@Tanyawarren: A new era by planitisgi.gr https://t.co/FgDhWK7vXl via Etsy Cute list by @PLANITISGI inc. my #baby blanket      #craft https:   |1|Mon Feb 15 20:44:33 +0000 2016
38|"Found a Transponder Snail!
Get an inside look at a shadowy criminal empire!
https://t.co/LDrAsmNJjR #TreCru https://t.co/0sQ3Hvp5Wb"|0|Mon Feb 15 20:44:33 +0000 2016
39|I sure do miss my best friend @Caarleeraae     |0|Mon Feb 15 20:44:33 +0000 2016
40|@_tyera: I don't wanna fall in love|1|Mon Feb 15 20:44:33 +0000 2016
41|Dude (@mmann), we're just getting the      East Coast under control. @kellenw when you're back in Van, a #RandomActsOfPizza may be in store.|0|Mon Feb 15 20:44:33 +0000 2016
42|@MindfulStudies: A #mindfulmonday reminder from @KripaluCenter https://t.co/5QTHDXBesk|7|Mon Feb 15 20:44:33 +0000 2016
43|It's Been A Long Day Today     |0|Mon Feb 15 20:44:33 +0000 2016
44|God knows and understand the hearts of people better than we do.|0|Mon Feb 15 20:44:33 +0000 2016
45|@Ellis_2025: Kia sportage 31k miles   253 PM no deposit.. Great family car very practical! Message for more info @PROSPORTSCARS https://t   |3|Mon Feb 15 20:44:33 +0000 2016
46|@TeamWizVIP  sent 30 for access through March 31.Twitter handle is claybird32|0|Mon Feb 15 20:44:33 +0000 2016
47|@bevansisme: @C0dyR0se you better cheer up right now and get out of your blah mood.     |3|Mon Feb 15 20:44:33 +0000 2016
48|@Popn_C4: Females do lol  https://t.co/akdfESZYKP|1|Mon Feb 15 20:44:33 +0000 2016
49|@macsterd @tedcruz  I am a independent and voting for Trump|0|Mon Feb 15 20:44:33 +0000 2016
50|@BarryAlanHair: Who's coming to the amazing #hairshow @nwchfw #norwichhour #norfolkhour. We are going to be show casing our haircut and    |1|Mon Feb 15 20:44:33 +0000 2016
