text|rt_count|tweet_datetime
I'm so sorry, no not really|0|Mon Feb 15 20:41:16 +0000 2016
@EnglandRugby: #RedRoseChat Q4. Still to come: Ireland (H), Wales (H) &amp; France (A). Any players that you   re particularly wary of? https:   |4|Mon Feb 15 20:41:16 +0000 2016
@JasparUSA: I think @Joe_Sugg forgot it was #SUGGSUNDAY, he didn't even tweet it     |2|Mon Feb 15 20:41:16 +0000 2016
"@Italians4Trump: DONALD J. TRUMP FOR PRESIDENT, INC. OPED - The Culture of Life | Donald J Trump for President https://t.co/uXtzf5gXfd"|2|Mon Feb 15 20:41:16 +0000 2016
MAN I CANT LIE IM STILL WEAK BUT I GOTTA CHILL        |0|Mon Feb 15 20:41:16 +0000 2016
"I'm Not Crazy..I'm Allergic! #5Stars ""meticulously researched(&amp; extremely thought provoking) study"" https://t.co/6fTlWYh4v8 #indiewritersupp"|0|Mon Feb 15 20:42:39 +0000 2016
"@AldenBAE_07: Close your eyes,
fall in love,
stay there :)

 #ALDUB7thMonthsary https://t.co/F7Z3s8rH5H"|1|Mon Feb 15 20:42:39 +0000 2016
@eleeeyeeleh I'm a 'they're waiting' type|0|Mon Feb 15 20:42:39 +0000 2016
@Ken_DeMange Just heard that too, beat me to it. Not attacking down the right might be having an impact on that.|0|Mon Feb 15 20:42:39 +0000 2016
@JohnEastCoast: @Kleptocratia @BryanJFischer @Wildharv @FDRLST Dems passed resolution in 1960 against election year SCOTUS appts and the   |2|Mon Feb 15 20:42:39 +0000 2016
Is that a elephant fighting a deer              https://t.co/ffimY7np1l|0|Mon Feb 15 20:42:39 +0000 2016
@Bre2xs_: I really need to lose some weight before the summer|2|Mon Feb 15 20:42:39 +0000 2016
really want a Mac|0|Mon Feb 15 20:42:39 +0000 2016
when everything is on the right places @TheMattEspinosa https://t.co/O2jf7TZssT|0|Mon Feb 15 20:42:39 +0000 2016
at times https://t.co/jktgWD7nwP|0|Mon Feb 15 20:44:33 +0000 2016
@krellard: I don't have time for incompetent, white trash little girls. kiss my ass and my Michael &lt;3|1|Mon Feb 15 20:44:33 +0000 2016
Someone bring me to the mall or hang w me :)|0|Mon Feb 15 20:44:33 +0000 2016
I love you more, sweetie.          https://t.co/vTrwXayw5c|0|Mon Feb 15 20:44:33 +0000 2016
I'm at Qurtuba in Kuwait https://t.co/ViiID8p89j|0|Mon Feb 15 20:44:33 +0000 2016
Let's Try - The Shield: The Game (Part 2) https://t.co/6BtwgM4dKm via @YouTube|0|Mon Feb 15 20:44:33 +0000 2016
@BlueMarlinUAE: What a night! Were you there? FIRE FESTIVAL WITH @santemusic AND @blond_ish @BlueMarlinUAE #DubaiParty #MyDubai https://   |2|Mon Feb 15 20:44:33 +0000 2016
@iKnoYouWatching: It really do though.                    https://t.co/2sg1GoHl3Q|1|Mon Feb 15 20:44:33 +0000 2016
Would you lie about how many sexual partners you've had?|0|Mon Feb 15 20:44:33 +0000 2016
@RealMikeWelch @miss_linseylynn That's why Coldstone is the best date spot am I right?|0|Mon Feb 15 20:44:33 +0000 2016
one person followed me and one person unfollowed me // automatically checked by https://t.co/kDATleTJLp|0|Mon Feb 15 20:44:33 +0000 2016
"@CuratedATL: Shop our Presidents' Day sale | 20 items are now 20% OFF online | Use code ""2020"" at checkout,    https://t.co/9sKIlnxqh8"|1|Mon Feb 15 20:44:33 +0000 2016
@whenthewolves love u too|0|Mon Feb 15 20:44:33 +0000 2016
@zakearaaaa: don't let Instagram, twitter, facebook, periscope, bebo, myspace, OR NO OTHER SOCIAL MEDIA SIGHT BE THE REASON YOU GET YOUR   |6|Mon Feb 15 20:44:33 +0000 2016
